iter	MultiClass
0	3.349759697
1	3.042465988
2	2.852595168
3	2.479575991
4	2.374185002
5	2.255772035
6	2.07213449
7	1.998628279
8	1.860882605
9	1.774015993
10	1.708608531
11	1.661356998
12	1.547395182
13	1.457068382
14	1.389220123
15	1.317268355
16	1.281956575
17	1.194352924
18	1.157870487
19	1.078251728
20	1.005770024
21	0.9469551075
22	0.9247213593
23	0.8992315779
24	0.8547207549
25	0.8139307706
26	0.796195878
27	0.7549676281
28	0.7324411805
29	0.7049009507
30	0.6734296516
31	0.658138609
32	0.6284753251
33	0.594949683
34	0.5755690946
35	0.5635472606
36	0.5396747673
37	0.529582129
38	0.5189602907
39	0.5050632948
40	0.4811313434
41	0.4698631913
42	0.4580453029
43	0.4494095382
44	0.4359405748
45	0.4182069062
46	0.4110128166
47	0.3931231759
48	0.3852912956
49	0.3773861081
50	0.370449193
51	0.3546733529
52	0.3449134746
53	0.3373749017
54	0.3314399868
55	0.3177610624
56	0.3125334986
57	0.3052957244
58	0.2948090989
59	0.2849459355
60	0.2759980691
61	0.2708129285
62	0.2658015509
63	0.2598194447
64	0.254525203
65	0.2499485745
66	0.2447591377
67	0.2384334245
68	0.2313399992
69	0.2270597469
70	0.2234349305
71	0.2166710617
72	0.2112200566
73	0.2054653127
74	0.1984625723
75	0.1957063371
76	0.1898686009
77	0.1875732767
78	0.1840632666
79	0.180437537
80	0.1757875209
81	0.1698055033
82	0.1639047284
83	0.1573975737
84	0.1546497407
85	0.1501617792
86	0.1459495026
87	0.1409964021
88	0.1367938257
89	0.1347144336
90	0.130749713
91	0.1291442842
92	0.1254908136
93	0.1227667839
94	0.1190511193
95	0.1175345092
96	0.1156345255
97	0.1141617785
98	0.1123642678
99	0.1092725403
100	0.1076101815
101	0.1048507616
102	0.1025326898
103	0.1010312809
104	0.09903923917
105	0.09717277786
106	0.09576796027
107	0.09488262298
108	0.09316407464
109	0.0909013861
110	0.08861768217
111	0.08755198189
112	0.08544113942
113	0.08378535759
114	0.08231535724
115	0.08125125204
116	0.07947143838
117	0.07831079223
118	0.07746463604
119	0.07595562057
120	0.07507152372
121	0.07406757857
122	0.07345037187
123	0.07169514492
124	0.07024331003
125	0.06883381889
126	0.06734929598
127	0.0665820713
128	0.06571565896
129	0.06491286339
130	0.06393349799
131	0.06265173643
132	0.06199962247
133	0.06094290644
134	0.06014533822
135	0.05936367152
136	0.05852549055
137	0.05787556799
138	0.05743943102
139	0.05690686719
140	0.05585207309
141	0.05488242663
142	0.05419062766
143	0.05350382634
144	0.05304877719
145	0.05240419151
146	0.05173840806
147	0.05116112564
148	0.05026593625
149	0.0498262499
150	0.04882517639
151	0.04797833536
152	0.04753787468
153	0.0469686782
154	0.04637235506
155	0.04577981435
156	0.04508387668
157	0.04441774859
158	0.04376711753
159	0.04313087777
160	0.04279069072
161	0.04223289227
162	0.04176353774
163	0.04134651396
164	0.04097482269
165	0.04060780946
166	0.04001621752
167	0.03981242259
168	0.03944953698
169	0.03908043948
170	0.03849710141
171	0.03804360337
172	0.03762818177
173	0.03706063296
174	0.03680575451
175	0.03644517311
176	0.03598544544
177	0.03579857589
178	0.03539999378
179	0.03499499478
180	0.03471692858
181	0.03436733016
182	0.03396063541
183	0.03349203907
184	0.03317979937
185	0.03280626861
186	0.03247439859
187	0.03221547807
188	0.03203933561
189	0.03162279443
190	0.03141480948
191	0.03120212521
192	0.03085649397
193	0.03061148813
194	0.03042985244
195	0.03026454286
196	0.03002087858
197	0.02981529166
198	0.02949367203
199	0.0293011694
200	0.02904919671
201	0.02885244395
202	0.02859582848
203	0.02844256043
204	0.0282003915
205	0.02789058256
206	0.02766522001
207	0.02745514573
208	0.02715154172
209	0.02703369286
210	0.02675267667
211	0.02645687557
212	0.02617402146
213	0.02599365906
214	0.02575204596
215	0.02558762215
216	0.02543591845
217	0.02517494003
218	0.0249898452
219	0.02468597331
220	0.02445934811
221	0.02428897943
222	0.0241423471
223	0.02389747208
224	0.02380663446
225	0.02370694091
226	0.02348200035
227	0.0232931294
228	0.02310022644
229	0.02294892537
230	0.02277324135
231	0.02263687071
232	0.02246832969
233	0.0223881072
234	0.02219593454
235	0.02207451469
236	0.0219141507
237	0.02176606154
238	0.0216642233
239	0.02157355473
240	0.0214826886
241	0.02135020905
242	0.02115971306
243	0.02108500807
244	0.02094444397
245	0.02087142152
246	0.02076020483
247	0.02062633285
248	0.02046407547
249	0.02035195198
250	0.02027878003
251	0.02014996719
252	0.02000351891
253	0.01991324444
254	0.01977738023
255	0.01963871699
256	0.01948048738
257	0.01936287912
258	0.0192579879
259	0.01918291009
260	0.01905943792
261	0.01891483371
262	0.01885243346
263	0.01874305907
264	0.01863595564
265	0.01850684142
266	0.01837792578
267	0.01829710795
268	0.01821316205
269	0.01807083673
270	0.01791411344
271	0.01783538187
272	0.01774831421
273	0.0176584489
274	0.01755855868
275	0.01745150815
276	0.01728347105
277	0.01722471796
278	0.01711202871
279	0.01696128728
280	0.01686791264
281	0.01674065588
282	0.01663714416
283	0.01653221912
284	0.01643176674
285	0.0163693823
286	0.01626727583
287	0.01619024056
288	0.01610754506
289	0.01602509069
290	0.01595107683
291	0.01586213398
292	0.01578530532
293	0.01571269243
294	0.01565746697
295	0.01556114056
296	0.01548078184
297	0.01539592792
298	0.01534437788
299	0.01527443604
300	0.01519233251
301	0.01510445039
302	0.01504079607
